document,element,frequency_in_document
C00001,paul,5.0
C00001,hand,1.0
C00001,mkultra,3.0
C00001,buyer,1.0
C00001,colorado,1.0
C00001,two,6.0
C00001,cathi,4.0
C00003,waterg,1.0
C00003,airbag,1.0
C00003,assist,9.0
C00003,quarl,2.0
C00003,prosecutor,5.0
C00003,grack,2.0
C00003,general,7.0
C00003,inquiri,1.0
C00003,zainab,1.0
C00003,respect,1.0
C00003,atkinson,2.0
C00003,rush,1.0
C00003,lobbi,1.0
C00003,affect,1.0
C00003,doj,6.0
C00003,foreign,2.0
C00003,takata,1.0
C00003,trump,5.0
C00003,scrutin,1.0
C00003,van,2.0
C00003,virginia,2.0
C00003,northern,1.0
C00003,flynn,1.0
C00003,brandon,1.0
C00003,russian,1.0
C00003,elena,1.0
C00003,enron,1.0
C00003,section,3.0
C00003,rhee,4.0
C00003,fraud,3.0
C00003,counsel,4.0
C00003,columbia,1.0
C00003,veteran,1.0
C00003,york,8.0
C00003,eric,2.0
C00003,new,8.0
C00003,holder,2.0
C00003,deputi,3.0
C00003,eastern,4.0
C00003,weissmann,3.0
C00003,andrew,2.0
C00003,task,1.0
C00003,campaign,4.0
C00003,donor,2.0
C00003,dnc,1.0
C00003,ginsburg,1.0
C00003,prosecut,1.0
C00003,bader,1.0
C00003,ruth,1.0
C00003,clerk,1.0
C00003,ag,2.0
C00003,fluent,1.0
C00003,kagan,1.0
C00003,solicitor,2.0
C00003,appel,4.0
C00003,prelogar,2.0
C00003,liber,2.0
C00003,bharara,4.0
C00003,preet,3.0
C00003,corrupt,1.0
C00003,goldstein,2.0
C00003,jeanni,3.0
C00003,justic,4.0
C00003,govern,1.0
C00003,dreeben,2.0
C00003,manafort,1.0
C00003,bahara,1.0
C00003,fire,1.0
C00003,ringsid,1.0
C00003,seat,1.0
C00003,brutal,1.0
C00003,tweet,1.0
C00003,donald,1.0
C00003,jr,1.0
C00003,greg,1.0
C00003,andr,4.0
C00003,davi,1.0
C00003,polk,1.0
C00003,wardwel,1.0
C00003,southern,4.0
C00003,unit,1.0
C00003,briberi,1.0
C00003,fast,1.0
C00003,n,1.0
C00003,furious,1.0
C00003,foundat,1.0
C00003,attorney,17.0
C00003,origin,1.0
C00003,indict,1.0
C00003,juri,1.0
C00003,investig,4.0
C00003,note,17.0
C00003,result,1.0
C00003,testimoni,1.0
C00003,grand,1.0
C00003,illeg,1.0
C00003,ahmad,2.0
C00003,busi,1.0
C00003,dmitri,1.0
C00003,colleagu,1.0
C00003,brightest,1.0
C00003,past,1.0
C00003,generat,1.0
C00003,prolif,1.0
C00003,suprem,1.0
C00003,advoc,1.0
C00003,overse,1.0
C00003,docket,1.0
C00003,adam,1.0
C00003,jed,3.0
C00003,obamacar,1.0
C00003,aaron,2.0
C00003,zebley,3.0
C00003,firtash,1.0
C00003,previous,1.0
C00003,automak,1.0
C00003,zelinski,1.0
C00003,zelinksi,1.0
C00003,maryland,2.0
C00003,rod,1.0
C00003,rosenstein,1.0
C00003,carr,2.0
C00003,spokesman,1.0
C00003,lisa,1.0
C00003,page,2.0
C00003,trial,1.0
C00003,gang,1.0
C00003,ukrainian,1.0
C00003,oligarch,1.0
C00003,staff,1.0
C00003,disburs,1.0
C00003,stanford,1.0
C00003,theft,1.0
C00003,serv,9.0
C00003,one,1.0
C00003,led,1.0
C00003,focus,1.0
C00003,lawyer,2.0
C00003,bush,1.0
C00003,public,1.0
C00003,given,1.0
C00003,georg,1.0
C00003,personnel,1.0
C00003,time,1.0
C00003,washington,1.0
C00003,secur,4.0
C00003,court,1.0
C00003,legal,1.0
C00003,divis,6.0
C00003,speak,1.0
C00003,may,1.0
C00003,make,1.0
C00003,organ,1.0
C00003,year,1.0
C00003,addit,1.0
C00003,master,2.0
C00003,settlement,2.0
C00003,special,4.0
C00003,chief,2.0
C00003,depart,3.0
C00003,defend,1.0
C00003,defens,1.0
C00003,lead,1.0
C00003,appear,1.0
C00003,conduct,1.0
C00003,join,1.0
C00003,intellig,1.0
C00003,crimin,7.0
C00003,feder,1.0
C00003,began,1.0
C00003,district,10.0
C00003,hous,1.0
C00003,describ,1.0
C00003,civil,1.0
C00003,work,5.0
C00003,among,1.0
C00003,program,1.0
C00003,agenc,1.0
C00003,forc,2.0
C00003,million,2.0
C00003,top,1.0
C00003,deliv,1.0
C00003,friend,2.0
C00003,show,1.0
C00003,long,1.0
C00003,person,1.0
C00003,offic,7.0
C00003,nation,3.0
C00003,crime,1.0
C00003,former,14.0
C00003,relat,1.0
C00003,fbi,6.0
C00003,target,1.0
